epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
1154,21.40353,29551.90962,8.20886,0.03063776,0.00039683,423737.0,0.06838,0.03064,0.99955,0.99975,0.00181,0.04258,0.93204,0.07752688,0.0,423737.0,0.02913,0.07753,0.97858,0.9971,0.08438,0.29048,0.93415,0.06737177,0.0,423737.0,0.02919,0.06737,0.99327,0.99678,0.02739,0.16549,True,0.7614,1.2386,1.0874,0.9126,2.1955,-0.1955,1.9839,0.0161,1.8687,0.1312,2.4376,-0.4376,2.1983,-0.1982,1.0456,0.9543,1.9204,0.0795,1.0641,0.9359
1394,13.74666,8765.9979,2.435,0.02250065,0.00021996,423737.0,0.04392,0.0225,0.99973,0.99986,0.00109,0.03305,0.57794,0.07341126,0.0,423737.0,0.01806,0.07341,0.98739,0.99724,0.04965,0.22283,0.57427,0.06761887,0.0,423737.0,0.01795,0.06762,0.99101,0.99665,0.03657,0.19123,True,0.8732,1.1268,2.2791,-0.2791,2.1091,-0.1091,2.0524,-0.0523,2.324,-0.3239,2.2597,-0.2596,1.066,0.934,2.6476,-0.6475,1.6847,0.3152,2.2987,-0.2987
1391,37.70511,19897.01983,5.52695,0.0228186,0.00022196,423737.0,0.12046,0.02282,0.99972,0.99986,0.00111,0.03335,1.01993,0.07962139,0.0,423737.0,0.03187,0.07962,0.97432,0.99712,0.10114,0.31803,1.02683,0.06782429,0.0,423737.0,0.03209,0.06782,0.99107,0.99675,0.03635,0.19066,True,0.7607,1.2392,1.0331,0.9669,2.2592,-0.2592,2.3279,-0.3279,2.3761,-0.3761,2.2111,-0.2111,2.0511,-0.0511,1.0782,0.9218,2.1367,-0.1367,2.1202,-0.1202
1107,13.73544,12310.12187,3.41948,0.03653686,0.00043414,423737.0,0.04388,0.03654,0.99638,0.99937,0.01465,0.12103,0.57694,0.07490269,0.0,423737.0,0.01803,0.0749,0.98853,0.99768,0.04519,0.21258,0.5749,0.07726811,0.0,423737.0,0.01797,0.07727,0.98497,0.99597,0.06116,0.24731,True,0.867,1.133,1.9022,0.0978,2.2248,-0.2248,2.2053,-0.2053,2.2853,-0.2853,1.0966,0.9033,1.0655,0.9345,2.1896,-0.1896,1.9339,0.0661,2.3846,-0.3846
1374,13.40544,8625.60939,2.396,0.02277971,0.00023345,423737.0,0.04283,0.02278,0.99959,0.99986,0.00166,0.04077,0.56437,0.07615288,0.0,423737.0,0.01764,0.07615,0.97394,0.99748,0.10264,0.32038,0.56856,0.06588662,0.0,423737.0,0.01777,0.06589,0.99318,0.99655,0.02774,0.16655,True,0.7193,1.2807,0.9967,1.0034,2.1832,-0.1831,2.2557,-0.2557,2.3785,-0.3786,2.0169,-0.0169,0.9714,1.0286,1.0136,0.9865,1.8967,0.1032,2.4089,-0.409
1500,24.55358,11786.65731,3.27407,0.01972221,0.00015364,423737.0,0.07845,0.01972,0.99975,0.9999,0.00102,0.0319,0.88721,0.07537527,0.0,423737.0,0.02773,0.07538,0.97856,0.99724,0.08443,0.29057,1.06073,0.07145815,0.0,423737.0,0.03315,0.07146,0.99074,0.99671,0.03766,0.19405,True,0.8078,1.1922,1.0626,0.9374,2.2869,-0.2869,2.2684,-0.2684,2.2748,-0.2748,1.0239,0.9762,1.0358,0.9642,2.4376,-0.4376,1.7164,0.2837,2.2253,-0.2253
1418,19.62769,13042.37346,3.62288,0.02169309,0.00020416,423737.0,0.06271,0.02169,0.99972,0.99986,0.00115,0.03392,0.63205,0.08584327,0.0,423737.0,0.01975,0.08584,0.94348,0.99718,0.2226,0.47181,0.62875,0.06558296,0.0,423737.0,0.01965,0.06558,0.98998,0.99717,0.04076,0.20188,True,0.7984,1.2016,1.2713,0.7287,2.2809,-0.2809,2.3264,-0.3264,2.0915,-0.0916,2.4659,-0.4659,2.1692,-0.1692,1.0786,0.9214,1.1698,0.8302,2.0939,-0.0939
1223,18.32765,14144.98403,3.92916,0.03110406,0.00034319,423737.0,0.05855,0.0311,0.9988,0.99973,0.00487,0.06976,0.59344,0.07906594,0.0,423737.0,0.01854,0.07907,0.97797,0.99688,0.08677,0.29456,0.5977,0.07066491,0.0,423737.0,0.01868,0.07066,0.99064,0.99657,0.03807,0.19512,True,0.8563,1.1437,2.0837,-0.0837,2.0634,-0.0634,2.247,-0.2469,2.0989,-0.0989,2.1997,-0.1997,1.0937,0.9063,1.9525,0.0475,1.0575,0.9425,1.8622,0.1378
1540,17.57988,8211.72347,2.28103,0.01855777,0.00013113,423737.0,0.05617,0.01856,0.99973,0.99989,0.00108,0.03284,0.58806,0.08377764,0.0,423737.0,0.01838,0.08378,0.94902,0.99707,0.20081,0.44812,0.59683,0.06633709,0.0,423737.0,0.01865,0.06634,0.9917,0.99705,0.03377,0.18375,True,0.7934,1.2065,1.0106,0.9894,2.2414,-0.2414,2.4502,-0.4502,2.1267,-0.1268,1.0239,0.9761,2.4812,-0.4813,1.0534,0.9466,1.8436,0.1564,2.1,-0.1
1512,37.82151,18820.30971,5.22786,0.01970793,0.00014673,423737.0,0.12084,0.01971,0.99982,0.99989,0.00072,0.02689,1.03626,0.08938587,0.0,423737.0,0.03238,0.08939,0.93512,0.99709,0.25556,0.50553,1.04219,0.0722166,0.0,423737.0,0.03257,0.07222,0.98967,0.9966,0.04202,0.20498,True,0.7503,1.2497,1.0989,0.9012,2.2302,-0.2302,2.3876,-0.3876,2.4504,-0.4504,2.3396,-0.3396,1.0103,0.9897,1.9779,0.0222,1.0159,0.9841,2.0988,-0.0988
mean,21.790649000000002,14515.670659,4.032128999999999,0.024605863999999998,0.00024851900000000005,423737.0,0.06961900000000001,0.024606,0.9992789999999999,0.999797,0.0029159999999999993,0.046609,0.7408239999999999,0.079506309,0.0,423737.0,0.023150999999999998,0.079507,0.968691,0.997208,0.12331700000000001,0.337489,0.7604909999999999,0.069222937,0.0,423737.0,0.023767,0.06922299999999999,0.990623,0.9966800000000001,0.038149,0.194102,1.0,0.79878,1.2011999999999998,1.3825600000000002,0.61746,2.20746,-0.20745,2.2504799999999996,-0.25046,2.2274900000000004,-0.22752,1.90749,0.09251999999999996,1.51425,0.48575,1.6474600000000001,0.35256000000000004,1.63756,0.36242,2.06567,-0.06567999999999999
std,9.142984149811204,6630.640991596452,1.8418442071735839,0.006007620997555613,0.00010660044907660254,0.0,0.029211180679093864,0.0060079747003461996,0.0010600885707231112,0.0001608346286648979,0.004292220870365363,0.028752232937441377,0.20127119687956677,0.005236477568468776,0.0,0.0,0.006289459347900175,0.005237162187461619,0.01895409744619882,0.00022596951613486666,0.07465809088400563,0.10230324187868581,0.2229083038904862,0.0036731293087776144,0.0,0.0,0.006965250334497837,0.0036737660059762483,0.0023177194250670803,0.00032200759135288075,0.009431401981324587,0.022890991338175907,0.0,0.05283731425590986,0.05282819112725494,0.5007890533947402,0.5008039097291475,0.07265630201312351,0.07266001880906262,0.14265341683020896,0.14266912147420768,0.17744789188190807,0.1774140217432408,0.6066438373909723,0.6066387206017543,0.6215408438353472,0.6215459029262799,0.657041932029033,0.6570199746667609,0.40506936635045054,0.4050833680998408,0.38728355976811957,0.38729340815459284
