Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2
0,0,24.67811,2443.13245,0.67865,0.733219,0.0,149013,0.09565,0.35592,0.03882,0.68182,0.07346,0.50874,0.87789,0.79016682,0.0,149013,0.0266,0.18065,0.01618,0.67901,0.03161,0.41259,1.24799,0.82213728,0.0,149013,0.03782,0.1663,0.03391,0.92308,0.06541,0.47133,1.0,1.0,1.0,1.0
1,1,7.34837,1569.29735,0.43592,0.7075596,2e-05,149013,0.02848,0.38929,0.04116,0.68669,0.07767,0.54385,0.47736,0.72661707,0.0,149013,0.01447,0.29857,0.01755,0.62963,0.03415,0.53081,0.46703,0.7037659,0.0,149013,0.01415,0.3839,0.03698,0.73846,0.07043,0.61781,1.0,1.0,1.0,1.0
2,2,7.56081,1279.98888,0.35555,0.66186258,4e-05,149013,0.02931,0.56141,0.04882,0.57955,0.09005,0.61506,0.49761,0.68919256,0.0,149013,0.01508,0.51082,0.02648,0.66667,0.05094,0.64773,0.4923,0.61592644,0.0,149013,0.01492,0.64673,0.05455,0.62308,0.10031,0.67869,1.0018,0.9982,1.0011,0.9989
3,3,7.56492,1131.65303,0.31435,0.60969628,6e-05,149013,0.02932,0.66572,0.05826,0.52273,0.10483,0.64122,0.46569,0.64082832,0.0,149013,0.01411,0.60637,0.02938,0.59259,0.05598,0.67689,0.46306,0.56074598,0.0,149013,0.01403,0.72964,0.06472,0.56154,0.11606,0.70643,1.0004,0.9996,0.9994,1.0006
4,4,7.59491,1040.19527,0.28894,0.53651901,8e-05,149013,0.02944,0.76733,0.0739,0.45211,0.12704,0.65864,0.4719,0.58445734,0.0,149013,0.0143,0.70387,0.0344,0.51852,0.06452,0.68996,0.54526,0.51528955,0.0,149013,0.01652,0.78702,0.07805,0.53077,0.13609,0.72,1.0063,0.9937,1.0005,0.9995
5,5,7.81875,980.19859,0.27228,0.42563904,0.0001,149013,0.03031,0.88687,0.12341,0.33117,0.17981,0.67996,0.45661,0.37703049,0.0,149013,0.01384,0.938,0.12821,0.37037,0.19048,0.69825,0.44,0.34208282,0.0,149013,0.01333,0.93873,0.20952,0.33846,0.25882,0.72242,1.0158,0.9842,1.0029,0.9971
6,6,7.75639,934.28144,0.25952,0.30968116,9.997e-05,149013,0.03006,0.9504,0.29633,0.2362,0.26287,0.69293,0.45143,0.26803426,0.0,149013,0.01368,0.97447,0.3,0.22222,0.25532,0.71171,0.44283,0.25649004,0.0,149013,0.01342,0.96742,0.47297,0.26923,0.34314,0.72452,1.0174,0.9826,1.0059,0.9941
7,7,7.97787,900.45144,0.25013,0.23023248,9.989e-05,149013,0.03092,0.96249,0.49719,0.14367,0.22292,0.71445,0.43924,0.17731435,0.0,149013,0.01331,0.97933,0.42857,0.14815,0.22018,0.731,0.4305,0.18175994,0.0,149013,0.01305,0.96985,0.60714,0.13077,0.21519,0.73167,1.0147,0.9853,1.0061,0.9939
8,8,7.35941,866.11306,0.24059,0.18448103,9.975e-05,149013,0.02852,0.96438,0.62931,0.11851,0.19945,0.72512,0.55289,0.14163836,0.0,149013,0.01675,0.98104,0.57143,0.14815,0.23529,0.74098,0.4592,0.15359968,0.0,149013,0.01392,0.9718,0.73333,0.16923,0.275,0.74665,1.0123,0.9877,1.0065,0.9935
9,9,8.27545,845.41487,0.23484,0.15980423,9.956e-05,149013,0.03208,0.96477,0.67633,0.11364,0.19458,0.7407,0.54777,0.11756962,0.0,149013,0.0166,0.98128,0.6,0.14815,0.23762,0.75814,0.44945,0.13663144,0.0,149013,0.01362,0.97058,0.71429,0.11538,0.19868,0.75476,1.0094,0.9906,1.0066,0.9934
10,10,7.87559,823.74011,0.22882,0.14583741,9.932e-05,149013,0.03053,0.96529,0.73936,0.11282,0.19577,0.75582,0.45667,0.10553265,0.0,149013,0.01384,0.98152,0.63158,0.14815,0.24,0.75053,0.43774,0.12835512,0.0,149013,0.01326,0.97009,0.73333,0.08462,0.15172,0.74974,1.009,0.991,1.0088,0.9912
11,11,7.8225,803.97588,0.22333,0.1390515,9.902e-05,149013,0.03032,0.96508,0.71728,0.1112,0.19255,0.76079,0.46667,0.09647524,0.0,149013,0.01414,0.98152,0.63158,0.14815,0.24,0.76633,0.50782,0.12325314,0.0,149013,0.01539,0.96985,0.71429,0.07692,0.13889,0.76173,1.0091,0.9909,1.0083,0.9917
12,12,7.77955,785.7614,0.21827,0.1348381,9.867e-05,149013,0.03015,0.96493,0.67411,0.12256,0.20742,0.76629,0.4586,0.09411793,0.0,149013,0.0139,0.98055,0.52174,0.14815,0.23077,0.76316,0.44262,0.1205002,0.0,149013,0.01341,0.96961,0.64706,0.08462,0.14966,0.76713,1.0096,0.9904,1.0108,0.9892
13,13,7.39053,766.64797,0.21296,0.13168205,9.826e-05,149013,0.02865,0.96535,0.69658,0.13231,0.22237,0.77663,0.45415,0.09310453,0.0,149013,0.01376,0.98128,0.58333,0.17284,0.26667,0.75706,0.44418,0.11748408,0.0,149013,0.01346,0.97155,0.67568,0.19231,0.2994,0.77069,1.0098,0.9902,1.0114,0.9886
14,14,7.9635,752.3444,0.20898,0.12903481,9.78e-05,149013,0.03087,0.96511,0.69266,0.12256,0.20828,0.78408,0.48051,0.08724519,0.0,149013,0.01456,0.98079,0.5625,0.11111,0.18557,0.77149,0.52121,0.11949659,0.0,149013,0.01579,0.96839,0.5,0.01538,0.02985,0.76561,1.0109,0.9891,1.0149,0.9851
15,15,7.5913,736.87926,0.20469,0.12763613,9.729e-05,149013,0.02942,0.96529,0.69068,0.13231,0.22207,0.79174,0.46545,0.08880414,0.0,149013,0.0141,0.98055,0.51724,0.18519,0.27273,0.76774,0.45099,0.11731499,0.0,149013,0.01367,0.97204,0.71429,0.19231,0.30303,0.76653,1.0129,0.9871,1.015,0.985
16,16,7.682,722.78332,0.20077,0.12652578,9.673e-05,149013,0.02978,0.96562,0.70281,0.14205,0.23633,0.79183,0.83935,0.08529285,0.0,149013,0.02543,0.98104,0.57895,0.1358,0.22,0.77073,0.45319,0.11970836,0.0,149013,0.01373,0.96888,0.66667,0.03077,0.05882,0.75058,1.0137,0.9863,1.0174,0.9826
17,17,7.91247,710.44995,0.19735,0.12517715,9.611e-05,149013,0.03067,0.96599,0.71161,0.15422,0.2535,0.80248,0.49601,0.08488723,0.0,149013,0.01503,0.98104,0.56522,0.16049,0.25,0.76467,0.52855,0.11685705,0.0,149013,0.01602,0.97082,0.85714,0.09231,0.16667,0.76661,1.0142,0.9858,1.0188,0.9812
18,18,8.14872,699.5891,0.19433,0.12363177,9.545e-05,149013,0.03158,0.96581,0.68512,0.16071,0.26036,0.80317,0.56164,0.08176728,0.0,149013,0.01702,0.98152,0.63158,0.14815,0.24,0.75479,0.44416,0.11687128,0.0,149013,0.01346,0.96937,1.0,0.03077,0.0597,0.75494,1.0143,0.9857,1.0198,0.9802
19,19,7.89895,688.00038,0.19111,0.12411385,9.474e-05,149013,0.03062,0.96626,0.70748,0.16883,0.27261,0.80108,0.53169,0.0885932,0.0,149013,0.01611,0.98177,0.60714,0.20988,0.31193,0.76493,0.43917,0.12160733,0.0,149013,0.01331,0.97058,0.76471,0.1,0.17687,0.76036,1.0158,0.9842,1.0211,0.9789
20,20,7.96909,677.02693,0.18806,0.12248244,9.397e-05,149013,0.03089,0.96629,0.70569,0.17127,0.27564,0.80851,0.44056,0.08370349,0.0,149013,0.01335,0.98177,0.63636,0.17284,0.27184,0.75905,0.43234,0.1182527,0.0,149013,0.0131,0.97082,0.77778,0.10769,0.18919,0.75373,1.0152,0.9848,1.0223,0.9777
21,21,8.13087,666.90019,0.18525,0.12296403,9.316e-05,149013,0.03152,0.96596,0.68667,0.16721,0.26893,0.80977,0.54016,0.08788926,0.0,149013,0.01637,0.98104,0.56,0.17284,0.26415,0.75569,0.46,0.12186095,0.0,149013,0.01394,0.97009,0.68421,0.1,0.1745,0.76012,1.0149,0.9851,1.0246,0.9754
22,22,7.60658,655.19177,0.182,0.12155677,9.23e-05,149013,0.02948,0.96666,0.71565,0.18182,0.28997,0.81504,0.46723,0.08491738,0.0,149013,0.01416,0.98104,0.55556,0.18519,0.27778,0.75453,0.54033,0.11886781,0.0,149013,0.01637,0.97131,0.67647,0.17692,0.28049,0.75714,1.0148,0.9852,1.026,0.974
23,23,7.95394,644.92513,0.17915,0.12101512,9.14e-05,149013,0.03083,0.9669,0.72,0.18994,0.30058,0.81752,0.45807,0.0853927,0.0,149013,0.01388,0.98055,0.51724,0.18519,0.27273,0.76491,0.53027,0.1181431,0.0,149013,0.01607,0.97131,0.63636,0.21538,0.32184,0.76262,1.0155,0.9844,1.0278,0.9722
24,24,7.9489,634.82842,0.17634,0.12024077,9.045e-05,149013,0.03081,0.96641,0.69184,0.18588,0.29303,0.8218,0.56157,0.08451477,0.0,149013,0.01702,0.98104,0.55556,0.18519,0.27778,0.75664,0.54615,0.11874092,0.0,149013,0.01655,0.97107,0.66667,0.16923,0.26994,0.75046,1.0161,0.9839,1.0286,0.9714
25,25,8.21027,625.6408,0.17379,0.12026756,8.946e-05,149013,0.03182,0.96666,0.70642,0.1875,0.29634,0.81972,0.46465,0.08505349,0.0,149013,0.01408,0.98079,0.53125,0.20988,0.30088,0.76612,0.82066,0.11820713,0.0,149013,0.02487,0.97107,0.61702,0.22308,0.32768,0.75858,1.0146,0.9853,1.0296,0.9704
26,26,7.76582,615.32393,0.17092,0.11893185,8.842e-05,149013,0.0301,0.96733,0.72754,0.20373,0.31833,0.8279,0.44969,0.08536787,0.0,149013,0.01363,0.98104,0.55172,0.19753,0.29091,0.76169,0.4391,0.11957323,0.0,149013,0.01331,0.97058,0.6,0.20769,0.30857,0.75673,1.0146,0.9854,1.0303,0.9697
27,27,7.89864,605.5308,0.1682,0.11897327,8.734e-05,149013,0.03061,0.96678,0.70623,0.19318,0.30338,0.8317,0.51463,0.08245565,0.0,149013,0.01559,0.98152,0.59259,0.19753,0.2963,0.75113,0.52892,0.11810691,0.0,149013,0.01603,0.97131,0.75,0.13846,0.23377,0.75379,1.0139,0.9861,1.0319,0.9681
28,28,8.24448,596.71503,0.16575,0.11775922,8.622e-05,149013,0.03196,0.9673,0.72807,0.20211,0.31639,0.82906,0.5681,0.08284349,0.0,149013,0.01722,0.98152,0.58621,0.20988,0.30909,0.7631,0.54709,0.11729963,0.0,149013,0.01658,0.97155,0.65854,0.20769,0.31579,0.75984,1.0112,0.9888,1.0337,0.9663
29,29,8.19507,587.82207,0.16328,0.11698874,8.506e-05,149013,0.03176,0.96806,0.73629,0.2289,0.34923,0.827,0.44561,0.08696484,0.0,149013,0.0135,0.98055,0.51515,0.20988,0.29825,0.76364,0.44777,0.1215204,0.0,149013,0.01357,0.97082,0.6,0.23077,0.33333,0.75858,1.0115,0.9885,1.0338,0.9662
30,30,7.70321,577.87935,0.16052,0.11666941,8.386e-05,149013,0.02986,0.9679,0.74044,0.21997,0.33917,0.82759,0.51517,0.0822394,0.0,149013,0.01561,0.98104,0.54839,0.20988,0.30357,0.75542,0.49303,0.11763199,0.0,149013,0.01494,0.97204,0.69231,0.20769,0.31953,0.75827,1.0102,0.9898,1.0357,0.9643
31,31,7.59646,567.84974,0.15774,0.11704212,8.263e-05,149013,0.02944,0.96748,0.73547,0.20536,0.32107,0.83118,0.45747,0.08242394,0.0,149013,0.01386,0.98128,0.57692,0.18519,0.28037,0.7524,0.44112,0.11945622,0.0,149013,0.01337,0.97058,0.61538,0.18462,0.28402,0.74417,1.0107,0.9893,1.0368,0.9632
32,32,8.13293,559.05682,0.15529,0.11580994,8.136e-05,149013,0.03152,0.96763,0.72032,0.22159,0.33892,0.83465,0.44896,0.08279579,0.0,149013,0.0136,0.98152,0.58065,0.22222,0.32143,0.75398,0.43267,0.11889828,0.0,149013,0.01311,0.97204,0.69231,0.20769,0.31953,0.75064,1.0104,0.9896,1.0373,0.9627
33,33,7.68948,549.44189,0.15262,0.11586302,8.005e-05,149013,0.0298,0.96739,0.72779,0.20617,0.32132,0.836,0.5366,0.08069322,0.0,149013,0.01626,0.98104,0.54839,0.20988,0.30357,0.75882,0.5125,0.11722626,0.0,149013,0.01553,0.97058,0.6,0.20769,0.30857,0.7458,1.0099,0.9901,1.0388,0.9612
34,34,8.23983,540.95907,0.15027,0.11450056,7.872e-05,149013,0.03194,0.96751,0.71059,0.22321,0.33972,0.84208,0.5312,0.07988534,0.0,149013,0.0161,0.98128,0.5625,0.22222,0.31858,0.75991,0.93133,0.11693614,0.0,149013,0.02822,0.97107,0.63415,0.2,0.30409,0.75379,1.0094,0.9906,1.0399,0.9601
35,35,7.8327,531.76597,0.14771,0.11517491,7.735e-05,149013,0.03036,0.96757,0.71429,0.22321,0.34014,0.839,0.44979,0.0800477,0.0,149013,0.01363,0.98128,0.57692,0.18519,0.28037,0.76351,0.45892,0.11847629,0.0,149013,0.01391,0.97107,0.7619,0.12308,0.21192,0.74992,1.0101,0.9899,1.0405,0.9595
36,36,7.84032,522.65937,0.14518,0.11442057,7.595e-05,149013,0.03039,0.96699,0.69312,0.21266,0.32547,0.84291,0.60809,0.08142118,0.0,149013,0.01843,0.98031,0.5,0.20988,0.29565,0.7749,0.5228,0.11928052,0.0,149013,0.01584,0.97155,0.65116,0.21538,0.3237,0.74908,1.0085,0.9915,1.042,0.958
37,37,8.16256,514.14518,0.14282,0.11376728,7.452e-05,149013,0.03164,0.96696,0.6893,0.21429,0.32693,0.84786,0.4473,0.08535312,0.0,149013,0.01355,0.98055,0.51351,0.23457,0.32203,0.77242,0.44416,0.11928094,0.0,149013,0.01346,0.97034,0.57143,0.24615,0.34409,0.75469,1.0081,0.9918,1.0428,0.9572
38,38,8.11384,505.57281,0.14044,0.11362886,7.307e-05,149013,0.03145,0.96775,0.71216,0.23295,0.35107,0.84618,0.48839,0.08234848,0.0,149013,0.0148,0.98079,0.53125,0.20988,0.30088,0.76884,0.54952,0.11996025,0.0,149013,0.01665,0.97131,0.6875,0.16923,0.2716,0.75534,1.007,0.993,1.0444,0.9556
39,39,8.25708,497.23824,0.13812,0.11320184,7.159e-05,149013,0.032,0.96784,0.72539,0.22727,0.34611,0.84784,0.45388,0.08434435,0.0,149013,0.01375,0.98177,0.58333,0.25926,0.35897,0.76082,0.44585,0.11977042,0.0,149013,0.01351,0.97228,0.7,0.21538,0.32941,0.75565,1.0071,0.9929,1.0449,0.9551
40,40,7.26996,487.48696,0.13541,0.1131408,7.008e-05,149013,0.02818,0.96793,0.71638,0.23782,0.3571,0.84733,0.45853,0.08349334,0.0,149013,0.01389,0.98177,0.58824,0.24691,0.34783,0.76242,0.44217,0.11899329,0.0,149013,0.0134,0.97155,0.62264,0.25385,0.36066,0.74841,1.0074,0.9926,1.0463,0.9537
41,41,7.50469,478.17798,0.13283,0.11333492,6.856e-05,149013,0.02909,0.96821,0.74093,0.23214,0.35352,0.84333,0.44316,0.08074469,0.0,149013,0.01343,0.98201,0.6129,0.23457,0.33929,0.76224,0.57851,0.1179906,0.0,149013,0.01753,0.97204,0.7027,0.2,0.31138,0.75299,1.0067,0.9933,1.0467,0.9533
42,42,7.89836,469.47477,0.13041,0.11219064,6.701e-05,149013,0.03061,0.96799,0.72774,0.23214,0.352,0.85089,0.63707,0.08004847,0.0,149013,0.01931,0.98201,0.62069,0.22222,0.32727,0.76885,0.45975,0.11866737,0.0,149013,0.01393,0.97131,0.64286,0.20769,0.31395,0.75211,1.0049,0.9951,1.0473,0.9527
43,43,8.51987,461.59915,0.12822,0.11179252,6.545e-05,149013,0.03302,0.96809,0.72414,0.23864,0.35897,0.85039,0.5413,0.08228223,0.0,149013,0.0164,0.98152,0.59259,0.19753,0.2963,0.77533,0.54745,0.12009969,0.0,149013,0.01659,0.97009,0.60606,0.15385,0.2454,0.75286,1.004,0.996,1.0488,0.9513
44,44,8.73236,453.9546,0.1261,0.11130002,6.387e-05,149013,0.03385,0.96775,0.71007,0.23458,0.35265,0.85656,0.58599,0.08185039,0.0,149013,0.01776,0.98249,0.61538,0.2963,0.4,0.76174,0.5323,0.11934543,0.0,149013,0.01613,0.97082,0.59615,0.23846,0.34066,0.75223,1.0037,0.9963,1.0494,0.9506
45,45,7.89257,445.27692,0.12369,0.11129473,6.227e-05,149013,0.03059,0.9679,0.70853,0.24269,0.36155,0.85498,0.44517,0.08582708,0.0,149013,0.01349,0.98298,0.64865,0.2963,0.40678,0.76636,0.44349,0.12241081,0.0,149013,0.01344,0.97034,0.56667,0.26154,0.35789,0.74866,1.0025,0.9975,1.0501,0.9499
46,46,7.40235,436.07986,0.12113,0.1105956,6.066e-05,149013,0.02869,0.96815,0.71395,0.24919,0.36943,0.85673,0.52187,0.08125023,0.0,149013,0.01581,0.98249,0.63636,0.25926,0.36842,0.76754,0.44307,0.1192803,0.0,149013,0.01343,0.9718,0.675,0.20769,0.31765,0.74649,1.002,0.998,1.0509,0.9491
47,47,8.22703,427.85097,0.11885,0.10916513,5.904e-05,149013,0.03189,0.96897,0.74941,0.25731,0.38308,0.86067,0.46358,0.08017814,0.0,149013,0.01405,0.98201,0.6,0.25926,0.36207,0.7819,0.45243,0.11784759,0.0,149013,0.01371,0.97131,0.625,0.23077,0.33708,0.75244,1.0014,0.9986,1.0509,0.9491
48,48,8.24063,419.63631,0.11657,0.10987726,5.741e-05,149013,0.03194,0.96818,0.72289,0.24351,0.3643,0.85602,0.44319,0.0816975,0.0,149013,0.01343,0.98298,0.63415,0.32099,0.42623,0.77385,0.43993,0.11871865,0.0,149013,0.01333,0.97155,0.63265,0.23846,0.34637,0.75873,0.9999,1.0001,1.0509,0.9491
