,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
49,49,263.02489,13164.77232,3.65688,0.02468666,0.00027887,9745818,0.38398,0.98976,0.96297,0.54454,13.80908,0.04540806,0.0,9745818,0.16057,0.98121,0.87516,0.29557,14.55669,0.04806372,0.0,9745818,0.16926,0.97981,0.87261,0.28524,1.5063,0.4937,1.791,0.209,1.78,0.2201,1.668,0.332,1.6139,0.3861
50,50,263.27207,12901.45442,3.58374,0.02449245,0.00027064,9745818,0.38434,0.98983,0.96363,0.55458,13.3033,0.04554302,0.0,9745818,0.15469,0.98117,0.87381,0.29587,14.04263,0.04818623,0.0,9745818,0.16329,0.97967,0.8701,0.28563,1.5083,0.4917,1.7909,0.2091,1.7793,0.2207,1.6662,0.3339,1.6091,0.3909
51,51,260.7398,12635.8008,3.50994,0.02431833,0.0002624,9745818,0.38064,0.98994,0.96457,0.55868,13.34073,0.04589619,0.0,9745818,0.15512,0.98105,0.87413,0.29501,14.01952,0.04843016,0.0,9745818,0.16302,0.97972,0.87035,0.28494,1.5087,0.4913,1.7921,0.2079,1.7808,0.2192,1.6626,0.3374,1.6091,0.3909
52,52,261.31149,12370.83957,3.43634,0.02413812,0.00025413,9745818,0.38148,0.99001,0.96551,0.56186,13.36575,0.04577461,0.0,9745818,0.15542,0.98106,0.87326,0.29807,14.00948,0.04841701,0.0,9745818,0.1629,0.9795,0.87045,0.28615,1.5112,0.4888,1.7948,0.2052,1.78,0.22,1.6651,0.3349,1.6072,0.3928
53,53,261.28968,12105.99494,3.36278,0.02402107,0.00024587,9745818,0.38144,0.9901,0.96607,0.56426,13.34614,0.04594922,0.0,9745818,0.15519,0.98129,0.87385,0.29537,14.00383,0.04856775,0.0,9745818,0.16284,0.97972,0.87018,0.28551,1.5117,0.4883,1.7965,0.2035,1.7791,0.2209,1.6591,0.3409,1.6068,0.3931
54,54,262.21589,11842.03739,3.28945,0.02376043,0.0002376,9745818,0.3828,0.99007,0.9673,0.56986,13.33049,0.04581569,0.0,9745818,0.15501,0.98141,0.87195,0.29558,14.04806,0.04842955,0.0,9745818,0.16335,0.9801,0.86951,0.28605,1.5129,0.4871,1.8004,0.1996,1.7752,0.2248,1.6591,0.3409,1.6066,0.3933
55,55,259.18455,11575.76027,3.21549,0.02359347,0.00022936,9745818,0.37837,0.99024,0.96805,0.57523,15.15598,0.0463155,0.0,9745818,0.17623,0.98102,0.87191,0.29862,14.0438,0.0489239,0.0,9745818,0.1633,0.97963,0.86897,0.28586,1.5169,0.4831,1.792,0.208,1.7727,0.2273,1.6543,0.3457,1.6025,0.3975
56,56,258.91818,11309.53107,3.14154,0.02340066,0.00022113,9745818,0.37798,0.99036,0.96905,0.58262,13.32892,0.04637999,0.0,9745818,0.15499,0.98124,0.86982,0.29444,14.04626,0.04907764,0.0,9745818,0.16333,0.97955,0.86746,0.28501,1.5165,0.4835,1.7912,0.2088,1.7722,0.2278,1.6538,0.3463,1.6036,0.3963
57,57,262.84329,11046.3963,3.06844,0.02324098,0.00021293,9745818,0.38371,0.99038,0.96934,0.58509,13.32066,0.04647119,0.0,9745818,0.15489,0.98097,0.87225,0.29494,14.00841,0.04909988,0.0,9745818,0.16289,0.97943,0.86899,0.28441,1.5165,0.4836,1.7933,0.2067,1.7695,0.2306,1.6497,0.3503,1.6018,0.3982
58,58,259.75742,10781.12699,2.99476,0.02307844,0.00020478,9745818,0.37921,0.99049,0.97027,0.58908,13.33404,0.04677951,0.0,9745818,0.15505,0.98108,0.87044,0.29148,14.01628,0.049364,0.0,9745818,0.16298,0.97966,0.86708,0.28543,1.5163,0.4837,1.7927,0.2073,1.7688,0.2312,1.6496,0.3504,1.5999,0.4001
59,59,262.6421,10517.96452,2.92166,0.02289097,0.00019668,9745818,0.38342,0.99056,0.97096,0.59176,13.34653,0.04690033,0.0,9745818,0.15519,0.98105,0.86951,0.29382,14.00709,0.04960873,0.0,9745818,0.16287,0.97948,0.86725,0.28392,1.5197,0.4803,1.7994,0.2006,1.7676,0.2324,1.6449,0.3551,1.5997,0.4003
60,60,260.27111,10253.30324,2.84814,0.02275205,0.00018863,9745818,0.37996,0.99069,0.97159,0.59955,13.32744,0.04723341,0.0,9745818,0.15497,0.98085,0.87003,0.29422,14.03399,0.04981683,0.0,9745818,0.16319,0.97934,0.86728,0.28464,1.5168,0.4832,1.797,0.203,1.7685,0.2315,1.644,0.356,1.5995,0.4005
61,61,261.57359,9989.58188,2.77488,0.02258873,0.00018065,9745818,0.38186,0.99066,0.97209,0.60244,13.32307,0.0469703,0.0,9745818,0.15492,0.98111,0.86904,0.29596,14.05736,0.04963733,0.0,9745818,0.16346,0.97948,0.86588,0.28593,1.5183,0.4817,1.7945,0.2055,1.7685,0.2315,1.6387,0.3613,1.5962,0.4038
62,62,261.17558,9725.69494,2.70158,0.0224356,0.00017275,9745818,0.38128,0.9907,0.97281,0.60448,13.27868,0.04709529,0.0,9745818,0.1544,0.98102,0.86779,0.29406,14.04521,0.04971659,0.0,9745818,0.16332,0.97935,0.86503,0.28621,1.5187,0.4813,1.7964,0.2036,1.7698,0.2302,1.6395,0.3605,1.5983,0.4017
63,63,261.22121,9461.91841,2.62831,0.02227224,0.00016493,9745818,0.38134,0.99083,0.97354,0.6122,13.32423,0.04740083,0.0,9745818,0.15493,0.9811,0.86759,0.29626,14.04824,0.05007095,0.0,9745818,0.16335,0.97941,0.86491,0.28586,1.5181,0.482,1.7926,0.2074,1.7653,0.2347,1.639,0.361,1.5933,0.4067
64,64,260.81193,9198.00011,2.555,0.02213576,0.0001572,9745818,0.38075,0.99088,0.97403,0.61686,15.16969,0.04736734,0.0,9745818,0.17639,0.98103,0.86833,0.2936,14.01666,0.05003429,0.0,9745818,0.16298,0.97954,0.86472,0.28389,1.5215,0.4785,1.7986,0.2014,1.7668,0.2332,1.638,0.3621,1.5917,0.4083
65,65,260.10651,8933.81255,2.48161,0.0219791,0.00014958,9745818,0.37972,0.99097,0.97464,0.61998,13.35048,0.04783458,0.0,9745818,0.15524,0.98085,0.8671,0.2939,14.02004,0.05054344,0.0,9745818,0.16302,0.97926,0.86471,0.2822,1.522,0.478,1.7952,0.2048,1.7626,0.2374,1.6388,0.3612,1.5901,0.4099
66,66,262.51461,8670.93289,2.40859,0.02183411,0.00014206,9745818,0.38323,0.99099,0.97483,0.62376,13.35868,0.04791932,0.0,9745818,0.15533,0.98086,0.86535,0.29367,13.99905,0.05063642,0.0,9745818,0.16278,0.97919,0.86225,0.28339,1.5208,0.4792,1.792,0.208,1.766,0.234,1.6346,0.3655,1.5882,0.4118
67,67,261.45771,8407.56661,2.33544,0.02168225,0.00013466,9745818,0.38169,0.99106,0.97559,0.62839,13.35972,0.04786352,0.0,9745818,0.15535,0.98097,0.86675,0.2933,14.00956,0.05065559,0.0,9745818,0.1629,0.97949,0.86236,0.28153,1.523,0.477,1.7953,0.2047,1.7613,0.2387,1.6338,0.3662,1.589,0.411
68,68,262.0899,8144.53967,2.26237,0.02156851,0.00012739,9745818,0.38261,0.99111,0.97609,0.63067,13.27044,0.04790374,0.0,9745818,0.15431,0.98094,0.8677,0.2944,14.05071,0.05075653,0.0,9745818,0.16338,0.97953,0.86266,0.28216,1.5225,0.4775,1.7957,0.2043,1.7613,0.2387,1.6334,0.3666,1.5889,0.4111
69,69,262.15002,7881.56527,2.18932,0.02142916,0.00012026,9745818,0.3827,0.99115,0.97619,0.63419,13.28356,0.04838306,0.0,9745818,0.15446,0.98063,0.86734,0.29442,14.00818,0.05113184,0.0,9745818,0.16289,0.97906,0.8629,0.28075,1.5218,0.4782,1.7971,0.2029,1.757,0.243,1.6307,0.3693,1.5889,0.4111
70,70,262.3376,7618.69071,2.1163,0.02128524,0.00011326,9745818,0.38297,0.99118,0.97703,0.63989,13.31981,0.04821527,0.0,9745818,0.15488,0.98087,0.86687,0.29342,14.00784,0.05094545,0.0,9745818,0.16288,0.97931,0.86261,0.28167,1.5242,0.4758,1.7972,0.2028,1.7576,0.2424,1.6319,0.3682,1.5874,0.4126
71,71,258.75782,7354.43893,2.0429,0.02119299,0.00010642,9745818,0.37775,0.99128,0.97696,0.64266,13.35235,0.04866035,0.0,9745818,0.15526,0.98065,0.86614,0.29276,15.87415,0.05151935,0.0,9745818,0.18458,0.97898,0.86137,0.28147,1.5226,0.4774,1.7953,0.2047,1.7578,0.2422,1.6303,0.3697,1.5856,0.4144
72,72,260.59808,7091.01831,1.96973,0.02107292,9.973e-05,9745818,0.38044,0.99132,0.97768,0.64579,13.99192,0.04860494,0.0,9745818,0.1627,0.98074,0.86593,0.29478,14.68903,0.05146031,0.0,9745818,0.1708,0.97909,0.86152,0.28276,1.5236,0.4764,1.7958,0.2042,1.7542,0.2458,1.628,0.372,1.5835,0.4165
73,73,263.74213,6828.77864,1.89688,0.02097056,9.321e-05,9745818,0.38503,0.99132,0.97802,0.64761,13.35943,0.04861487,0.0,9745818,0.15534,0.98097,0.86527,0.29464,14.07992,0.05151391,0.0,9745818,0.16372,0.97935,0.8614,0.28197,1.5233,0.4767,1.7964,0.2036,1.752,0.248,1.6261,0.3739,1.5833,0.4167
74,74,260.71164,6565.48874,1.82375,0.02082316,8.685e-05,9745818,0.3806,0.99132,0.97862,0.64869,13.32598,0.04874788,0.0,9745818,0.15495,0.98096,0.86468,0.29448,14.08631,0.05164058,0.0,9745818,0.16379,0.97933,0.86059,0.28233,1.5229,0.4771,1.7961,0.2039,1.7513,0.2487,1.6267,0.3734,1.5823,0.4177
75,75,263.24355,6303.06625,1.75085,0.02070926,8.068e-05,9745818,0.3843,0.99149,0.97878,0.65454,13.37495,0.04888747,0.0,9745818,0.15552,0.98094,0.86457,0.29561,14.06566,0.05174757,0.0,9745818,0.16355,0.97931,0.86038,0.28196,1.5235,0.4765,1.7986,0.2014,1.7518,0.2482,1.6252,0.3748,1.5811,0.4189
76,76,260.02063,6039.65973,1.67768,0.02067094,7.469e-05,9745818,0.37959,0.99144,0.9788,0.65287,13.35093,0.04906661,0.0,9745818,0.15524,0.98056,0.86368,0.29412,14.05081,0.05189639,0.0,9745818,0.16338,0.97909,0.85998,0.28074,1.523,0.477,1.798,0.202,1.7504,0.2496,1.623,0.377,1.5798,0.4201
77,77,262.98356,5777.17574,1.60477,0.02053522,6.889e-05,9745818,0.38392,0.99157,0.97921,0.65821,13.35936,0.04903934,0.0,9745818,0.15534,0.9808,0.86334,0.29326,14.01494,0.05188561,0.0,9745818,0.16296,0.97932,0.85939,0.28212,1.5248,0.4752,1.7989,0.2011,1.7488,0.2512,1.6218,0.3782,1.5813,0.4187
78,78,259.95139,5513.87307,1.53163,0.02041576,6.329e-05,9745818,0.37949,0.99164,0.97958,0.6598,13.33657,0.04910427,0.0,9745818,0.15508,0.98066,0.86378,0.29562,14.03672,0.0520626,0.0,9745818,0.16322,0.97908,0.86023,0.28247,1.5247,0.4753,1.798,0.202,1.7475,0.2525,1.6214,0.3786,1.58,0.42
79,79,261.0716,5250.93424,1.45859,0.02039378,5.79e-05,9745818,0.38113,0.99159,0.97958,0.65967,13.32172,0.04928419,0.0,9745818,0.1549,0.98064,0.86346,0.29386,14.03029,0.05213686,0.0,9745818,0.16314,0.97912,0.85992,0.2819,1.5243,0.4757,1.7986,0.2014,1.7474,0.2526,1.6208,0.3792,1.5788,0.4211
80,80,261.44294,4988.12862,1.38559,0.02029793,5.271e-05,9745818,0.38167,0.99169,0.98005,0.66545,13.30642,0.04915866,0.0,9745818,0.15473,0.98068,0.8632,0.2941,15.87747,0.05206769,0.0,9745818,0.18462,0.97919,0.85878,0.2801,1.5241,0.4759,1.7976,0.2024,1.7452,0.2548,1.6198,0.3802,1.5781,0.4219
81,81,259.70072,4724.97379,1.31249,0.02018319,4.775e-05,9745818,0.37913,0.99169,0.98033,0.6676,13.32333,0.04921155,0.0,9745818,0.15492,0.98081,0.86307,0.29406,14.02633,0.05218983,0.0,9745818,0.1631,0.97922,0.85862,0.28043,1.5244,0.4757,1.7964,0.2036,1.7443,0.2557,1.6201,0.3799,1.5775,0.4225
82,82,261.76906,4462.32584,1.23953,0.02010021,4.3e-05,9745818,0.38214,0.99174,0.98041,0.66907,13.31828,0.0493626,0.0,9745818,0.15486,0.98078,0.86307,0.29377,14.04447,0.05233473,0.0,9745818,0.16331,0.97917,0.85831,0.28104,1.5245,0.4755,1.7966,0.2034,1.7451,0.2549,1.6196,0.3804,1.5762,0.4238
83,83,263.23268,4199.97759,1.16666,0.0200377,3.848e-05,9745818,0.38428,0.99181,0.98066,0.66965,13.34207,0.04948158,0.0,9745818,0.15514,0.98057,0.86221,0.2939,14.08833,0.052424,0.0,9745818,0.16382,0.97901,0.85779,0.27981,1.5235,0.4765,1.7962,0.2038,1.7435,0.2565,1.619,0.381,1.5751,0.4249
84,84,261.74164,3937.34541,1.09371,0.0199682,3.419e-05,9745818,0.3821,0.99174,0.98101,0.67312,13.36822,0.04952851,0.0,9745818,0.15544,0.98059,0.86186,0.29427,14.04319,0.05250344,0.0,9745818,0.16329,0.97907,0.85765,0.28061,1.5234,0.4766,1.7961,0.2039,1.7441,0.2559,1.6185,0.3815,1.5749,0.4251
85,85,260.02259,3674.45409,1.02068,0.0199523,3.013e-05,9745818,0.3796,0.9917,0.98094,0.67282,13.31217,0.04971196,0.0,9745818,0.15479,0.9805,0.86199,0.29426,14.05609,0.05266674,0.0,9745818,0.16344,0.97902,0.85745,0.28003,1.5238,0.4762,1.7957,0.2043,1.7439,0.2561,1.6182,0.3819,1.5744,0.4256
86,86,262.95349,3412.06668,0.9478,0.01985389,2.632e-05,9745818,0.38387,0.99183,0.98124,0.67652,13.32068,0.04974033,0.0,9745818,0.15489,0.98061,0.86254,0.29413,14.04058,0.05269965,0.0,9745818,0.16326,0.97903,0.85822,0.27961,1.5241,0.4759,1.7948,0.2052,1.7437,0.2563,1.6181,0.382,1.5742,0.4258
87,87,260.42241,3149.32125,0.87481,0.01982074,2.275e-05,9745818,0.38018,0.99186,0.98119,0.67727,13.31867,0.04974914,0.0,9745818,0.15487,0.98063,0.86226,0.29492,14.0014,0.05273177,0.0,9745818,0.16281,0.97903,0.85771,0.28016,1.524,0.476,1.7949,0.2051,1.7432,0.2568,1.6174,0.3826,1.5738,0.4262
88,88,261.75849,2886.79315,0.80189,0.01977122,1.943e-05,9745818,0.38213,0.99183,0.98141,0.67902,13.36309,0.04976179,0.0,9745818,0.15538,0.98068,0.86138,0.29416,14.00321,0.05271503,0.0,9745818,0.16283,0.97906,0.85724,0.28043,1.5243,0.4758,1.7953,0.2047,1.743,0.257,1.6169,0.3831,1.5729,0.427
89,89,260.66809,2624.16101,0.72893,0.01974057,1.636e-05,9745818,0.38054,0.99187,0.98155,0.67733,15.18702,0.04982657,0.0,9745818,0.17659,0.98058,0.86137,0.29432,13.99059,0.05277879,0.0,9745818,0.16268,0.97896,0.85708,0.27976,1.524,0.476,1.7948,0.2052,1.7428,0.2572,1.6162,0.3838,1.5727,0.4273
90,90,259.67919,2361.47422,0.65597,0.01970434,1.355e-05,9745818,0.37909,0.99189,0.98166,0.68051,13.29723,0.04972558,0.0,9745818,0.15462,0.98059,0.8613,0.29413,14.07868,0.05268185,0.0,9745818,0.16371,0.97902,0.85698,0.2803,1.5244,0.4757,1.7953,0.2047,1.7424,0.2576,1.6158,0.3842,1.5719,0.4281
91,91,263.06887,2099.14758,0.5831,0.01971671,1.099e-05,9745818,0.38404,0.99187,0.98155,0.67611,13.31871,0.04984483,0.0,9745818,0.15487,0.98071,0.86151,0.29413,14.02831,0.05281869,0.0,9745818,0.16312,0.9789,0.85709,0.2805,1.5244,0.4756,1.7952,0.2048,1.7421,0.258,1.6159,0.3841,1.5722,0.4278
92,92,259.54017,1836.53937,0.51015,0.01966017,8.7e-06,9745818,0.37889,0.99195,0.98173,0.68125,13.38009,0.04979189,0.0,9745818,0.15558,0.98077,0.86152,0.2948,14.03788,0.05277551,0.0,9745818,0.16323,0.9792,0.85714,0.28028,1.5241,0.4759,1.795,0.205,1.7415,0.2585,1.6155,0.3845,1.572,0.428
93,93,261.55086,1574.12478,0.43726,0.01963113,6.67e-06,9745818,0.38183,0.9919,0.98168,0.68161,13.37079,0.04974916,0.0,9745818,0.15547,0.98073,0.86133,0.29404,14.02545,0.05272082,0.0,9745818,0.16309,0.97914,0.85699,0.2805,1.5243,0.4757,1.7947,0.2053,1.7414,0.2586,1.6152,0.3848,1.5718,0.4282
94,94,259.71348,1311.63167,0.36434,0.0196442,4.91e-06,9745818,0.37914,0.99193,0.98168,0.68223,13.97556,0.04977773,0.0,9745818,0.16251,0.9807,0.86143,0.29419,14.63293,0.05275379,0.0,9745818,0.17015,0.97912,0.85687,0.28054,1.5243,0.4758,1.7946,0.2054,1.7412,0.2588,1.6152,0.3848,1.5716,0.4284
95,95,262.56786,1049.3154,0.29148,0.01962725,3.41e-06,9745818,0.38331,0.99196,0.98181,0.68278,13.31168,0.04990628,0.0,9745818,0.15479,0.98066,0.86145,0.29465,14.09844,0.05286488,0.0,9745818,0.16394,0.97911,0.85697,0.28027,1.5242,0.4758,1.7946,0.2054,1.7411,0.259,1.6151,0.3849,1.5717,0.4283
96,96,260.39553,786.92675,0.21859,0.01959597,2.18e-06,9745818,0.38014,0.99196,0.98175,0.68479,13.3477,0.04984435,0.0,9745818,0.15521,0.98065,0.86152,0.29448,14.00121,0.05281855,0.0,9745818,0.1628,0.97908,0.85707,0.28058,1.5242,0.4758,1.7945,0.2055,1.7409,0.2591,1.6151,0.3849,1.5716,0.4284
97,97,262.12803,524.61414,0.14573,0.01957276,1.23e-06,9745818,0.38267,0.99193,0.98202,0.68146,13.33191,0.04988361,0.0,9745818,0.15502,0.98072,0.86163,0.29472,14.00489,0.05285414,0.0,9745818,0.16285,0.97908,0.85699,0.28037,1.5241,0.4759,1.7945,0.2055,1.7408,0.2592,1.615,0.385,1.5716,0.4284
98,98,260.06098,262.28438,0.07286,0.01958655,5.5e-07,9745818,0.37965,0.99187,0.98202,0.68342,15.11772,0.04985283,0.0,9745818,0.17579,0.98073,0.86166,0.29463,14.02853,0.05283543,0.0,9745818,0.16312,0.97917,0.85704,0.28073,1.5241,0.4759,1.7945,0.2055,1.7408,0.2592,1.615,0.385,1.5716,0.4284
99,99,260.48236,0.0,0.0,0.0195862,1.4e-07,9745818,0.38027,0.99195,0.9818,0.68457,13.31174,0.04989715,0.0,9745818,0.15479,0.98063,0.86149,0.29444,14.00769,0.0528687,0.0,9745818,0.16288,0.97906,0.85687,0.28034,1.5241,0.4759,1.7945,0.2055,1.7408,0.2592,1.615,0.3851,1.5716,0.4284
